A: Date (DD/MM/YYYY),Time (GMT),Instrument,Direction (BUY/SELL),Trade Rationale,Entry Price ,Stop Loss,Take Profits ,Size (Units),Evaluation Size,Exit Price,Exit Date,P&L $,R:R Actual,Setup Type (Breakout/Pullback/News/Range/Tech,Result (WIN/LOSS/OTHER),Mistake? (YES/NO),Lesson Learnt,Confidence (1-10),Probability Win,Probability Loss,Notes
27/12/25,14:00,MRK,BUY,strong MRK movement higher lows,104.77,103.5,106.78,10,Small test position 0.5%,106.78,30/12/25,20.1,1.582677165,Pullback,WIN,NO,Using basic trend lines and company succession analysed well,6,56,44,good analysis but very slow movement + bid
3/1/26,18:00,EUR/USD,BUY,breakout from previous resistance + re test,1.1762,1.1747,1.177,20000,Higher confidence 1%,1.1747,5/1/26,386,12.86666667,Breakout,WIN,NO,Bought where fair value gap was due to be filled correct analysis,6,64,36,fair value gap retracement consolodating strategy 
30/01/26,19:00,Physical silver ETC,BUY,uptrend + positive news for safe heaven ,7750,7483,8284,75,News trade greater risk 2% (mistake),7483,01/02/26,-120.16,-0.006000499376,News,LOSS,NO,Account for black swan events to avoid sudden news strikes,8,54,46,safe heaven wanting security
3/2/26,20:00,RUO/USD,BUY,clear indication of range so trade from support upwards ,1.1814,1.17,1.1855,"68,992",Tight stop allowed larger size 1%,1.17,04/02/26,-14.04,-0.01785103994,Range,LOSS,YES,"Range is good swing trade zone, forex needs a larger stop buffer",6,60,40,very volitile trend account for forex buffer 
19/2/26,19:27,USD/CAD,BUY,"consolodation 2 week high, bullish momentum (65 rsi), room for rising oil $",1.37035,1.36301,1.37003,"63,000",Medium stop size 1%,1.37003,22/02/26,179.21,0.3875481164,Breakout,WIN,NO,Selling support resistance on 4hr works well if research into economy (alongside),8,80,20,"RSI = 65, MACD positive, near 2 week consolodation after FOMC minutes supported USD "
19/2/26,18:42,EUR/USD,SELL,heavy trade lower half fed policy divergence vs ECB pressure + rsi 32 oversold,1.18186,1.1844,1.17662,"30,000",Clear signal 1% confidence high,1.17662,23/02/26,116.65,1.530839895,Pullback,WIN,NO,Techincal analysis support resistance zones with fibannacci levels to confirm + world affairs like trading low,8,70,30,"Trading heavy lower half 1.1765-1.200 range, RSI = 31.7 showing oversold suggesting bounces but fibinacci level confirm range"
02/03/26,21:15,USD/CAD,BUY,Price caught between 2 war driven sorces USD save heaven CAD strength surge oil prices. 4H offfers support around 1.3625-1/3630 clear bounce entry on return,1.363,1.358,1.373,"55,000",1.5% risk approx £3 per pip,1.36165,05/03/26,-40.52,-0.1473454545,Pullback,LOSS,YES,Bought pullback to support; support broke so exired early to preserve capital. Stuck to technical invalidation. I was in +£100 profit with high volitility next time I will sell and not wait,7,60,40,"Technical confluence prior resistance turned support, alligns 200 period SMA, USD stronger force as safe heaven largest economy exporter so better protected from oil surge"
04/03/26,19:07,USOIL,BUY,Price pullback to key support $74 with long lower wicks indicating buying pressure. 4H trend show bullish trend overbought RSI (72) confirms strong momentum to supply shock,73.9,72.39,76.9,300,2.24% risk of account slightly aggressive,76.9,05/03/26,677.09,1.494679912,Pullback,WIN,NO,"Trade tested support immediatley after entry. Held within expected range, No panic",8.5, ,35,Time horizon 2-5 days active short term selling to secure quick profits long term buying pressure I believe 
04/03/26,20:02,PLTR,BUY,Close at 154.31 clearing resistance at 150 confirming buyers absorb selling pressure from trapped traders. Move driven by strong Q4 earnings+ conflict increase contract length,154.5,147.5,164.5,25,"Reduced from 50, now 34% acc 1.1 risk",147.5,11/03/26,-112.36,-0.6420571429,Breakout,LOSS,NO,"Breakout trade above $150 failed to sustain momentum, my stop protected capital consider waiting for stronger comformation after earnings gaps",6.5,60,40,Close above 150 breaks through strong resistance. 50 day MA below 200 day MA long term bearish signalsuggesting headline driven but okay since i plan to be in trade for around 7 days. CEO sold $400m shares. Red flag for long term investors
09/03/26,20:17,Aluminium,BUY,"Strong bullish momentum close with minimal top wicks, supply shocks intact with qatalum shut, shallow pullback to test support logical entry",3400,3330,3550,3,Low units to keep 1.47% risk as volitile,3330,10/03/26,-230.76,-1.098857143,Pullback,LOSS,NO,"Correct analysis but unavoidable reality stops get hit by random volitility, Pullback and trend direction analysis correct but wrong timing by inches. (Low wick hit Sl rise price to profitable level )",8,70,30,"Monitor strait hormuz news as opening crush uptrend, profit taking expect healthy pullbacks so leaving room for market noise is good"
09/03/26,20:46,Samsara Inc,BUY,"IOT reported massive Q4 beat estimate $20M+ in revenue increase+ narrowed net loss, company captures over 25 trillion data points per anum and raised targets post earnings",34.5,31.5,44,30,"$30 per $1 move, strict risk management 0.63",31.5,11/03/26,-67.28,-0.7475555556,Pullback,LOSS,NO,"Post earnings gap faded quickly pulling stock back to support, was expecting pullback but not so deep. Future consider waiting for consolodation before entry after big gaps",7.5,70,30,Excellent RR buying pullback on strong move to TP at institutional targets. 0.7% acccount loss mimimal 
